state,median_home_value,average_outstanding_mortgage_balance,average_fico_score
Alabama,228669,182264,690
Alaska,371807,266070,722
Arizona,429140,274792,711
Arkansas,210633,168761,693
California,788920,449576,722
Colorado,551854,346785,730
Connecticut,414183,260096,726
Delaware,389974,223224,712
District of Columbia,606163,510749,714
Florida,387464,257457,706
Georgia,329110,231225,694
Hawaii,841274,413755,731
Idaho,462014,257644,730
Illinois,273186,200474,721
Indiana,244855,156496,711
Iowa,219987,160384,729
Kansas,230884,173204,721
Kentucky,217447,159129,704
Louisiana,201100,180754,688
Maine,400642,177763,731
Maryland,425692,288500,714
Massachusetts,635252,322045,731
Michigan,248560,162525,718
Minnesota,337891,214324,742
Mississippi,181232,153515,678
Missouri,251663,173623,712
Montana,459370,247187,732
Nebraska,264859,178646,730
Nevada,448322,300511,700
New Hampshire,487482,227672,736
New Jersey,548338,289863,723
New Mexico,308031,197950,702
New York,485932,295426,720
North Carolina,331761,217352,708
North Dakota,269509,199973,732
Ohio,234906,152655,714
Oklahoma,208281,170580,694
Oregon,500850,289318,731
Pennsylvania,272299,178705,721
Rhode Island,475865,233445,720
South Carolina,298029,211894,701
South Dakota,308842,195947,733
Tennessee,319167,224239,704
Texas,303321,245710,693
Utah,530787,312174,730
Vermont,388919,178561,738
Virginia,400201,288102,722
Washington,603837,357849,735
West Virginia,167589,135930,700
Wisconsin,312361,171362,738
Wyoming,357698,239965,724
