state,crime_rate_by_100k
Alabama,4.727
Alaska,5.359
Arizona,4.940
Arkansas,5.899
California,4.720
Colorado,6.091
Connecticut,3.312
Delaware,4.355
District of Columbia,4.229
Florida,3.922
Georgia,4.415
Hawaii,5.077
Idaho,2.466
Illinois,3.545
Indiana,3.924
Iowa,3.700
Kansas,4.823
Kentucky,3.818
Louisiana,6.408
Maine,2.421
Maryland,3.619
Massachusetts,2.415
Michigan,3.200
Minnesota,4.527
Mississippi,4.494
Missouri,5.605
Montana,4.711
Nebraska,4.152
Nevada,4.314
New Hampshire,2.344
New Jersey,2.512
New Mexico,6.462
New York,3.185
North Carolina,4.872
North Dakota,4.577
Ohio,4.009
Oklahoma,5.870
Oregon,5.610
Pennsylvania,3.678
Rhode Island,2.722
South Carolina,5.973
South Dakota,4.415
Tennessee,5.658
Texas,4.937
Utah,5.190
Vermont,2.607
Virginia,3.121
Washington,5.759
West Virginia,3.155
Wisconsin,3.295
Wyoming,3.455
