state,crime_rate_by_100k
Alabama,2.103
Alaska,2.604
Arizona,2.206
Arkansas,2.849
California,2.834
Colorado,3.353
Connecticut,1.709
Delaware,2.261
District of Columbia,5.458
Florida,1.807
Georgia,2.175
Hawaii,1.857
Idaho,1.044
Illinois,2.030
Indiana,1.875
Iowa,1.721
Kansas,2.524
Kentucky,1.776
Louisiana,3.178
Maine,1.223
Maryland,2.497
Massachusetts,1.415
Michigan,2.004
Minnesota,1.964
Mississippi,1.790
Missouri,2.554
Montana,2.276
Nebraska,2.206
Nevada,2.934
New Hampshire,0.996
New Jersey,1.743
New Mexico,3.637
New York,2.188
North Carolina,2.456
North Dakota,2.209
Ohio,1.979
Oklahoma,2.562
Oregon,2.917
Pennsylvania,1.845
Rhode Island,1.289
South Carolina,2.664
South Dakota,1.968
Tennessee,2.990
Texas,2.644
Utah,1.864
Vermont,2.004
Virginia,1.895
Washington,3.244
West Virginia,1.461
Wisconsin,1.505
Wyoming,1.661
